gene_id,gene_short_name,cell_group,marker_score,mean_expression,fraction_expressing,specificity,pseudo_R2,marker_test_p_value,marker_test_q_value,partition_assignment
ENSG00000122025,FLT3,8,0.23620492780741956,0.6783846512465798,0.5354150799695354,0.4411622620357637,0.13657171249917,3.866092345456017e-182,1.4200195845783405e-176,Blast 1
ENSG00000123179,EBPL,8,0.2417769594575152,0.998182157399345,0.7722772277227723,0.3130701654513979,0.20534580997845917,1.5818499944465612e-273,5.810150848102164e-268,Blast 1
ENSG00000102524,TNFSF13B,8,0.27159433245930226,1.0700006995997702,0.7445821505227446,0.3647607349553378,0.2322196805735418,2.30346120045142e-309,8.460636023870068e-304,Blast 1
ENSG00000100823,APEX1,8,0.24273130482687597,1.7263058322481633,0.8709409402478709,0.2787000743790897,0.2252154661048193,5.124101797656617e-300,1.882087714381073e-294,Blast 1
ENSG00000178741,COX5A,8,0.225448282043478,1.814112530036863,0.8822959218998823,0.2555245654519307,0.2341642998772461,5.83950790642e-312,2.1448570935354934e-306,Blast 1
ENSG00000197471,SPN,8,0.25302997974749963,1.2305253546847992,0.7885480855777885,0.3208808497228147,0.21964471728958154,1.3814735158788876e-292,5.074166038558313e-287,Blast 1
ENSG00000103490,PYCARD,8,0.27037391904379,1.5037800820825464,0.8683099079138683,0.3113795162067984,0.2981374584985506,0,0,Blast 1
ENSG00000005381,MPO,8,0.22709972834422862,17.494830795233927,0.5894897182025894,0.38524798878032585,0.1074093396505195,1.603444818499857e-143,5.88946885279816e-138,Blast 1
ENSG00000062716,VMP1,8,0.22278492296386154,1.3338057729938433,0.7675690645987676,0.2902473969300967,0.1897961069512417,7.981172519077841e-253,2.93149264742981e-247,Blast 1
ENSG00000185198,PRSS57,8,0.28836426445338975,4.058820504871043,0.9284082254379284,0.3106007212693197,0.3977188439598522,0,0,Blast 1
